source,case,family,trial_id,mIoU,depth_nan_ratio,denoise_retained_ratio,sam_fill_rate,sam_ontology_divergence,det_row_residual_px,det_row_gated,det_row_y_std,phase_incoherence_deg,det_real_detection_ratio
bo-elegant-trials,3-1,continuous,3-1-t021,0.648,0.1543137088729535,0.6432984043894074,0.5996361870913329,0.29806876364023266,4.8186762772930765,1.0,5.553694893899657,1.0,0.0
bo-elegant-trials,3-1,continuous,3-1-t022,0.14,0.5386593196884617,0.3732303411874181,0.3242058515058244,0.30771501389508854,0.0,0.0,0.0,2.6,0.1
bo-elegant-trials,3-1,continuous,3-1-t023,0.088,0.15492443066590256,0.7032186082989179,0.6113612951615062,0.21840119051255164,0.0,0.0,0.0,1.0,0.1
bo-elegant-trials,3-1,continuous,3-1-t024,0.062,0.8916493118927187,0.056868719247850266,0.04987255655594596,0.44782111284451376,0.0,0.0,0.0,4.8,0.0
bo-elegant-trials,3-1,continuous,3-1-t025,0.044,0.9623165441524545,0.02421892262829151,0.018696373385949788,0.31173533083645444,0.0,0.0,0.0,12.3,0.0
bo-elegant-trials,3-1,continuous,3-1-t026,0.057,0.8456215824655458,0.08644368991562902,0.06751545971448934,0.30816508404781656,0.0,0.0,30.199337171052683,4.0,0.2
bo-elegant-trials,3-1,continuous,3-1-t027,0.757,0.1795045346792914,0.7035531667906348,0.6452217266952779,0.24780454237048327,0.0,0.0,29.975019965400723,1.3,0.7
bo-elegant-trials,3-1,continuous,3-1-t028,0.802,0.1719756575271229,0.6790977190891295,0.6512188821700553,0.2242001953016104,4.309757833620937,1.0,2.141879869660065,0.9,0.0
bo-elegant-trials,3-1,continuous,3-1-t029,0.725,0.15395871824421348,0.7245572157264276,0.6083300396179497,0.20633300591401155,3.4346778483885405,1.0,5.359546913512484,1.4,0.0
bo-elegant-trials,3-1,continuous,3-1-t030,0.778,0.16675505815624447,0.6980679636124848,0.6596279709572107,0.24844814760644363,0.0,0.0,14.287939386984695,1.2,0.7
bo-elegant-trials,3-1,continuous,3-1-t031,0.082,0.1578287109001573,0.6991385507859791,0.5873633367463487,0.21980755678717329,0.0,0.0,4.547473508864641e-13,1.2,0.1
bo-elegant-trials,3-1,continuous,3-1-t032,0.451,0.47333272548825706,0.4011994310949555,0.38407626066307937,0.33411527335488733,5.25542725033928,1.0,4.829500813900399,2.1,0.0
