depth_nan_ratio,denoise_retained_ratio,det_real_detection_ratio,sam_fill_rate,sam_ring_completeness,sam_ontology_divergence,mIoU,case,family
0.1102055517713645,0.7786940984128362,0.9,0.7443460260965361,0.8888888888888888,0.1639451862701881,0.648,2-1,t1&2
0.1144974082821051,0.7612046033744024,0.9,0.728359675829184,0.8888888888888888,0.2292325995671041,0.852,2-1,t1&2
0.7802266274673046,0.0924286768398926,0.3,0.0802552194105647,1.0,0.2010932550413351,0.035,2-1,t1&2
0.1014779063842178,0.7631479954280423,0.3,0.7225651534974856,0.8888888888888888,0.2164766945349669,0.701,2-1,t1&2
0.0956414786290305,0.788835804298715,0.8,0.7534243177717287,0.8888888888888888,0.217845473923313,0.804,2-1,t1&2
0.1075031484437692,0.7708735084814776,0.7,0.743659302342405,0.8888888888888888,0.2188267071339863,0.779,2-1,t1&2
0.1083929928116416,0.7726112451143919,0.8,0.7428366806595028,0.8888888888888888,0.2331304944233211,0.812,2-1,t1&2
0.1017805557014549,0.7804628383755082,0.9,0.7481594356567228,0.8888888888888888,0.2232968090457756,0.82,2-1,t1&2
0.8238739906019327,0.0794119288411575,0.4,0.0665832677096186,1.0,0.2266892757087313,0.033,2-1,t1&2
0.0956356528970636,0.7890461102189041,0.9,0.7542386719000287,0.8888888888888888,0.2179909476636111,0.805,2-1,t1&2
0.0966882170201672,0.7868670928591064,0.9,0.7498294816863331,0.8888888888888888,0.2176873561032218,0.807,2-1,t1&2
0.0982714811879341,0.7777004416941046,1.0,0.7462599649869063,0.8888888888888888,0.2183420012246527,0.818,2-1,t1&2
0.8166056138534908,0.070492787592054,0.3,0.0627094016564045,1.0,0.2950148319050758,0.034,2-1,t1&2
0.1114940087177666,0.773016872012054,0.9,0.7383453316219495,0.8888888888888888,0.2233171577430316,0.824,2-1,t1&2
0.8006074695348264,0.0775765317195066,0.4,0.0678559543961688,1.0,0.2393364808610011,0.034,2-1,t1&2
0.1034899724591082,0.7762417350290087,0.9,0.740684016129999,0.8888888888888888,0.2235254694806203,0.828,2-1,t1&2
0.8324726274736386,0.0714569911475159,0.2,0.0630550887832019,1.0,0.3415048881823173,0.033,2-1,t1&2
0.1622931523275177,0.7266268101170488,0.0,0.6735175946644923,0.8888888888888888,0.2026786621937583,0.85,3-1,t3
0.5309447452560787,0.358407065875345,0.0,0.2985771149542977,0.8888888888888888,0.2524638179667182,0.054,3-1,t3
0.7541656291500664,0.1672652410844052,0.2,0.1561983573956099,1.0,0.36634488621458,0.068,3-1,t3
0.1516132469262599,0.685418540453568,0.0,0.5769733504710273,0.8888888888888888,0.2614439634828809,0.374,3-1,t3
0.1873538681181162,0.6878833806902175,0.0,0.6356642464342289,0.8888888888888888,0.2422860434791833,0.744,3-1,t3
0.1790822981481719,0.709239105063815,0.0,0.5975852657328076,0.8888888888888888,0.1970192510500454,0.087,3-1,t3
0.1713095344604728,0.6313149860419085,0.8,0.5852766254096397,0.8888888888888888,0.2800468466264846,0.707,3-1,t3
0.3343655825394053,0.5169099866487821,0.0,0.4975880666876219,0.8888888888888888,0.2090342299180554,0.082,3-1,t3
0.6762714439142805,0.2029151715273606,0.0,0.0189173375990837,0.8888888888888888,0.4249129445312714,0.062,3-1,t3
0.1835596022575126,0.7424662095923366,0.1,0.6867054235821722,0.8888888888888888,0.2176554430855897,0.109,3-1,t3
0.1530219797251173,0.7241152873001596,0.1,0.6802258814449192,0.8888888888888888,0.2217715646510606,0.113,3-1,t3
0.1783970276971887,0.7222464280045686,0.0,0.6889819774118555,0.8888888888888888,0.1997435816360485,0.874,3-1,t3
0.9641028704664016,0.0097084206038236,0.0,0.0083950840130835,1.0,0.4638863144887241,0.045,3-1,t3
0.174287913352024,0.7014913528300536,0.1,0.5691260087327547,0.8888888888888888,0.2023311514674279,0.079,3-1,t3
0.3902043476934962,0.5142615282631902,0.0,0.4844111303719979,0.8888888888888888,0.291672689776133,0.528,3-1,t3
0.1747676001735472,0.7596329504324363,0.0,0.6740808977993832,0.8888888888888888,0.1841955416022223,0.113,3-1,t3
0.1687096707041981,0.6580672166912009,0.0,0.5964851129251616,0.8888888888888888,0.2441450748366047,0.734,3-1,t3
0.4115052143136903,0.409704997214606,0.0,0.3365035992269364,0.8888888888888888,0.2850219653179191,0.269,3-1,t3
0.1866079883855007,0.712320155359627,0.7,0.6768756282697257,0.8888888888888888,0.2045659707055706,0.856,3-1,t3
0.161735425168881,0.6596092979251149,0.1,0.0626682517996134,0.8888888888888888,0.2648093429013648,0.048,3-1,t3
0.1864984349194985,0.7283882994780888,0.0,0.7022693958340466,0.8888888888888888,0.2195078716167558,0.118,3-1,t3
0.1523972874570772,0.7252014353337337,0.0,0.6708644680208764,0.8888888888888888,0.2180920526160747,0.098,3-1,t3
0.1600961230183761,0.6481907387985149,0.0,0.6073341445728389,0.8888888888888888,0.2657128606664343,0.36,3-1,t3
0.934623934005233,0.0280546746379765,0.0,0.0244959059377129,1.0,0.4555753186803879,0.043,3-1,t3
0.1840021323645553,0.7073080023279047,0.7,0.6580080854228975,0.8888888888888888,0.2186857304567379,0.821,3-1,t3
0.9394019607843136,0.0357339590873866,0.0,0.0284919348062206,1.0,0.3279628618241398,0.043,3-1,t3
0.1805895052658327,0.6819375760537036,0.7,0.6504999704343658,0.8888888888888888,0.2506586354604229,0.788,3-1,t3
0.170681240537779,0.7387813979254262,0.0,0.6813649364027649,0.8888888888888888,0.2141703835147795,0.102,3-1,t3
0.1896030451442843,0.7229668958262662,0.0,0.6925438582841351,0.8888888888888888,0.1949863874502402,0.884,3-1,t3
0.1631154707811025,0.6024402540777234,0.8,0.5330808324437708,0.8888888888888888,0.3094506944403902,0.602,3-1,t3
0.1651062533112181,0.6931662926873294,0.0,0.6473769058163383,0.8888888888888888,0.2100586737943749,0.104,3-1,t3
0.1539862683360473,0.7568646734242295,0.0,0.6996676200286942,0.8888888888888888,0.1964083300528801,0.85,3-1,t3
0.1686805173215434,0.6407137455301429,0.7,0.6010428888425521,0.8888888888888888,0.2817803356867131,0.689,3-1,t3
0.4504057434748703,0.4646223846084421,0.8,0.4419486553860805,0.8888888888888888,0.2161467960973617,0.566,3-1,t3
0.1854221468938898,0.7170631055119678,0.8,0.6512391112881591,0.8888888888888888,0.1988637494992166,0.79,3-1,t3
0.2052806822044992,0.7633638444754262,0.7,0.7529205431415833,1.0,0.1251910893500892,0.808,5-1,t4&5
0.6100321810528173,0.2621630334106968,0.3,0.2564213122634969,1.0,0.2931644448441745,0.128,5-1,t4&5
0.199408715670959,0.7639927312742697,0.7,0.7524689298758013,1.0,0.1267160353203358,0.803,5-1,t4&5
