source,case,family,trial_id,mIoU,stage1_varied,path,depth_nan_ratio,denoise_retained_ratio,unfold_residual,orient_agreement,sam_fill_rate,sam_ontology_divergence,det_row_residual_px,det_row_gated,det_row_y_std,phase_incoherence_deg,recentre_residual_max_cm,orient_axis_corr
reuse_v2,3-1,continuous,3-1-t027,0.757,False,data/bo-elegant/3-1-trials/runs/3-1-t027,0.1795045346792914,0.7035531667906348,2.341805806147327,0.9989160794172076,0.6452217266952779,0.24780454237048327,0.0,0.0,29.975019965400723,1.3,9.4,-0.9989160794172076
reuse_v2,3-1,continuous,3-1-t028,0.802,False,data/bo-elegant/3-1-trials/runs/3-1-t028,0.1719756575271229,0.6790977190891295,2.341805806147327,0.9989160794172076,0.6512188821700553,0.2242001953016104,4.309757833620937,1.0,2.141879869660065,0.9,9.4,-0.9989160794172076
reuse_v2,3-1,continuous,3-1-t029,0.725,False,data/bo-elegant/3-1-trials/runs/3-1-t029,0.15395871824421348,0.7245572157264276,2.341805806147327,0.9989160794172076,0.6083300396179497,0.20633300591401155,3.4346778483885405,1.0,5.359546913512484,1.4,9.4,-0.9989160794172076
bo-full-stage,3-1,continuous,3-1-gate-seed1,0.85,True,data/bo-full-stage/3-1-trials/runs/3-1-gate-seed1,0.16229315232751773,0.7266268101170488,2.341805806147327,0.9989160794172076,0.6735175946644923,0.2026786621937583,1.3685608244970866,1.0,5.325690362284073,1.2,9.4,-0.9989160794172076
bo-full-stage,3-1,continuous,3-1-f001,0.532,True,data/bo-full-stage/3-1-trials/runs/3-1-f001,0.309913124225846,0.5846308497163255,3.8753590210565547,0.9853689799026071,0.5232712662494281,0.245744046025959,0.0,0.0,42.33300141438391,4.6,47.2,-0.9853689799026071
bo-full-stage,3-1,continuous,3-1-f002,0.729,True,data/bo-full-stage/3-1-trials/runs/3-1-f002,0.15441563553957294,0.6986032571992319,2.341805806147327,0.9989160794172076,0.6148204743572587,0.22697986452614943,6.762615763417002,1.0,0.0,0.8,9.4,-0.9989160794172076
bo-full-stage,3-1,continuous,3-1-f003,0.229,True,data/bo-full-stage/3-1-trials/runs/3-1-f003,0.2355665727431608,0.6230832910596634,3.720862499966987,0.9956893878896957,0.3045291439348436,0.2781218383051783,0.0,0.0,0.0,2.3,40.3,-0.9956893878896957
bo-full-stage,3-1,continuous,3-1-f004,0.142,True,data/bo-full-stage/3-1-trials/runs/3-1-f004,0.8347617300524868,0.1312729717196929,4.702296896718814,0.9602126535615834,0.11198217347869252,0.36233394475015285,0.0,0.0,0.0,9.9,109.2,-0.9602126535615834
bo-full-stage,3-1,continuous,3-1-f005,0.268,True,data/bo-full-stage/3-1-trials/runs/3-1-f005,0.5802463947959626,0.2704742016500736,4.3463994570307305,0.9935035365613683,0.2591630124580246,0.3295806614309388,0.0,0.0,0.0,5.1,76.2,-0.9935035365613683
bo-full-stage,3-1,continuous,3-1-f006,0.069,True,data/bo-full-stage/3-1-trials/runs/3-1-f006,0.261881649111402,0.7277300750967107,3.7376696182833684,0.9967131457649776,0.4524180020478092,0.14197745301373618,0.0,0.0,22.658649784775875,3.5,41.0,-0.9967131457649776
bo-full-stage,3-1,continuous,3-1-f007,0.228,True,data/bo-full-stage/3-1-trials/runs/3-1-f007,0.257233418565325,0.6403247240281464,3.9908341858524357,0.9917509473183426,0.379395553951058,0.108219106914834,5.309034792696484,1.0,12.007810759338486,3.5,53.1,-0.9917509473183426
bo-full-stage,3-1,continuous,3-1-f008,0.362,True,data/bo-full-stage/3-1-trials/runs/3-1-f008,0.631259432137364,0.3072071679545872,3.4688560301359703,0.9972268092460278,0.2579834992639713,0.19109516054446388,0.0,0.0,13.029263409304752,3.1,31.1,-0.9972268092460278
bo-full-stage,3-1,continuous,3-1-f009,0.066,True,data/bo-full-stage/3-1-trials/runs/3-1-f009,0.9163163019592134,0.04174200716421998,3.5667118201397288,0.9979629786620592,0.03485477049287468,0.3033468756045657,4.9618651839262835,1.0,1.1806426635695288,8.1,34.4,-0.9979629786620592
reuse_v2,5-1,complex,5-1-anchor,0.808,False,data/anchors/5-1,0.20528068220449924,0.7633638444754262,3.0204248861443626,0.8024100124740393,0.7529205431415833,0.12519108935008927,0.0,0.0,580.3608667085526,22.7,19.5,0.8024100124740393
reuse_v2,5-1,complex,5-1-t000,0.808,False,data/bo-elegant/5-1-trials/runs/5-1-t000,0.20528068220449924,0.7633638444754262,3.0204248861443626,0.8024100124740393,0.7529205431415833,0.12519108935008927,0.0,0.0,580.3608667085526,22.7,19.5,0.8024100124740393
reuse_v2,5-1,complex,5-1-t001,0.801,False,data/bo-elegant/5-1-trials/runs/5-1-t001,0.2033352168130008,0.7494093010876012,3.0204248861443626,0.8024100124740393,0.7419638126990177,0.12440081917063892,0.0,0.0,580.2715681077607,22.3,19.5,0.8024100124740393
reuse_v2,5-1,complex,5-1-t002,0.036,False,data/bo-elegant/5-1-trials/runs/5-1-t002,0.9616617139856551,0.018432871315252113,3.0204248861443626,0.8024100124740393,0.016298947546958327,0.18399394612408654,0.0,0.0,0.0,7.0,19.5,0.8024100124740393
reuse_v2,5-1,complex,5-1-t003,0.741,False,data/bo-elegant/5-1-trials/runs/5-1-t003,0.20100949845210625,0.7626123477401712,3.0204248861443626,0.8024100124740393,0.7484958570613361,0.1320305752347775,0.0,0.0,611.6539577500504,19.0,19.5,0.8024100124740393
reuse_v2,5-1,complex,5-1-t004,0.786,False,data/bo-elegant/5-1-trials/runs/5-1-t004,0.2047735421838218,0.771081118223055,3.0204248861443626,0.8024100124740393,0.7578652997021089,0.12476688280784905,0.0,0.0,580.2914318444281,22.3,19.5,0.8024100124740393
reuse_v2,5-1,complex,5-1-t005,0.758,False,data/bo-elegant/5-1-trials/runs/5-1-t005,0.2003270723670208,0.7706259288341276,3.0204248861443626,0.8024100124740393,0.7574233930562928,0.1275995940339213,0.0,0.0,611.6140145677792,21.1,19.5,0.8024100124740393
reuse_v2,5-1,complex,5-1-t006,0.819,False,data/bo-elegant/5-1-trials/runs/5-1-t006,0.19921704391656478,0.7637143045436688,3.0204248861443626,0.8024100124740393,0.7514338976625948,0.12762356840753608,0.0,0.0,523.8967330964863,21.1,19.5,0.8024100124740393
reuse_v2,5-1,complex,5-1-t007,0.099,False,data/bo-elegant/5-1-trials/runs/5-1-t007,0.70139422393193,0.16572418792629304,3.0204248861443626,0.8024100124740393,0.16119834864850643,0.2882292965485268,0.0,0.0,310.2315778482053,28.9,19.5,0.8024100124740393
reuse_v2,5-1,complex,5-1-t008,0.766,False,data/bo-elegant/5-1-trials/runs/5-1-t008,0.1980759934480565,0.7701947505577474,3.0204248861443626,0.8024100124740393,0.7577610812561593,0.12431933323791944,0.0,0.0,580.6208856412798,22.7,19.5,0.8024100124740393
reuse_v2,5-1,complex,5-1-t009,0.744,False,data/bo-elegant/5-1-trials/runs/5-1-t009,0.20437305492821492,0.7674610598505078,3.0204248861443626,0.8024100124740393,0.7562744357771708,0.12732425415422433,0.0,0.0,602.0203496615101,21.7,19.5,0.8024100124740393
